Data,Neutral,Nm,Outlier,Nm,Total
Lddata_filter1,5988,5,334,0.1,6322
Lddata_filter2,6004,5,70,0.5,6074
Lddata_filter3,6201,5,91,1,6292
Lddata_filter4,6141,10,128,0.1,6269
Lddata_filter5,6511,10,84,0.5,6595
Lddata_filter6,6176,10,59,1,6235
Lddata_filter7,6210,15,126,0.1,6336
Lddata_filter8,6216,15,60,0.5,6276
Lddata_filter9,6087,15,81,1,6168
Lddata_filter10,6190,20,145,0.1,6335
Lddata_filter11,5966,20,104,0.5,6070
Lddata_filter12,5997,20,51,1,6048
