Data,Neutral,Nm,Outlier,Nm,Total
LDdata1,13350,5,407,0.1,13757
LDdata2,13424,5,142,0.5,13566
LDdata3,13658,5,182,1,13840
LDdata4,13540,10,201,0.1,13741
LDdata5,13452,10,173,0.5,13625
LDdata6,13311,10,132,1,13443
LDdata7,13684,15,228,0.1,13912
LDdata8,13547,15,141,0.5,13688
LDdata9,13394,15,146,1,13540
LDdata10,13403,20,212,0.1,13615
LDdata11,13221,20,171,0.5,13392
LDdata12,13152,20,111,1,13263
